2021-09-16 20:40:43,206 :: INFO :: Line --> 27 :: Inference Game with Model FrozenLake-v1_16-Sep-2021_15-53-31.h5
2021-09-16 20:40:43,206 :: INFO :: Line --> 28 :: --------------------------------------------------------------------------------------------------------------------------------
2021-09-16 20:40:43,887 :: WARNING :: Line --> 629 :: Model was constructed with shape (None, 16) for input KerasTensor(type_spec=TensorSpec(shape=(None, 16), dtype=tf.float32, name='dense_input'), name='dense_input', description="created by layer 'dense_input'"), but it was called on an input with incompatible shape (None, 1, 16).
2021-09-16 20:41:10,140 :: INFO :: Line --> 91 :: episode:12  total reward:6.0  Path Followed:[0, 1, 1, 0, 4, 4, 8, 9, 10, 6, 2, 6, 2, 2, 3, 2, 2, 2, 2, 6, 10, 14]  Action Executed:[2, 3, 3, 2, 0, 0, 3, 1, 0, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 0, 1]
2021-09-16 20:41:14,735 :: INFO :: Line --> 91 :: episode:13  total reward:6.0  Path Followed:[0, 4, 0, 0, 4, 4, 0, 4, 4, 4, 4, 4, 0, 0, 1, 0, 1, 0, 4, 0, 0, 1, 1, 0, 0, 0, 4, 4, 8, 4, 0, 0, 0, 0, 4, 4, 0, 0, 4, 8, 9, 13, 9, 10, 6, 2, 6, 2, 6, 10, 9, 13, 13, 9, 13, 13, 9, 8, 9, 10, 9, 13, 9, 13, 9, 8, 4, 0, 1, 2, 6]  Action Executed:[2, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 3, 2, 3, 2, 0, 2, 2, 3, 3, 2, 2, 2, 0, 0, 3, 0, 2, 2, 2, 2, 0, 0, 2, 2, 0, 3, 1, 2, 1, 0, 2, 2, 2, 2, 2, 0, 1, 2, 2, 1, 2, 2, 1, 3, 1, 0, 1, 2, 1, 2, 1, 3, 0, 2, 3, 2, 2]
2021-09-16 20:41:16,654 :: INFO :: Line --> 91 :: episode:14  total reward:6.0  Path Followed:[0, 4, 8, 4, 0, 4, 0, 0, 4, 0, 4, 8, 8, 8, 4, 0, 1, 2, 6, 2, 2, 6, 2, 6]  Action Executed:[2, 0, 3, 0, 2, 0, 2, 2, 0, 2, 0, 3, 3, 3, 0, 2, 3, 2, 2, 2, 2, 2, 2, 2]
2021-09-16 20:41:17,447 :: INFO :: Line --> 91 :: episode:15  total reward:6.0  Path Followed:[0, 1, 1, 2, 6, 10, 9, 10, 6]  Action Executed:[2, 3, 3, 2, 2, 0, 1, 0, 2]
2021-09-16 20:41:19,354 :: INFO :: Line --> 91 :: episode:16  total reward:6.0  Path Followed:[0, 4, 8, 8, 4, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 4, 8, 4, 0, 0, 1, 1, 2, 2, 6]  Action Executed:[2, 0, 3, 3, 0, 0, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 3, 3, 2, 3, 3, 2, 0, 3, 0, 2, 2, 3, 3, 2, 2, 2]
2021-09-16 20:41:20,986 :: INFO :: Line --> 91 :: episode:17  total reward:7.0  Path Followed:[0, 4, 0, 1, 2, 3, 2, 2, 3, 3, 3, 3, 3, 3, 2, 2, 6, 10, 14, 14, 14, 13, 14, 13, 13, 14]  Action Executed:[2, 0, 2, 3, 2, 3, 2, 2, 3, 3, 3, 3, 3, 3, 2, 2, 2, 0, 1, 1, 1, 2, 1, 2, 2, 1]
2021-09-16 20:41:22,149 :: INFO :: Line --> 91 :: episode:18  total reward:8.0  Path Followed:[0, 0, 0, 4, 8, 4, 4, 8, 4, 8, 4, 8, 9, 8, 9, 13, 14]  Action Executed:[2, 2, 2, 0, 3, 0, 0, 3, 0, 3, 0, 3, 1, 3, 1, 2, 1]
2021-09-16 20:41:25,928 :: INFO :: Line --> 91 :: episode:19  total reward:8.0  Path Followed:[0, 0, 0, 4, 0, 0, 4, 4, 4, 4, 8, 9, 10, 14, 14, 13, 14, 14, 13, 13, 9, 8, 4, 4, 4, 8, 8, 9, 8, 8, 8, 8, 4, 4, 4, 8, 9, 8, 4, 0, 0, 4, 8, 8, 8, 4, 4, 8, 9, 8, 4, 4, 8, 8, 9, 13, 14, 13, 13, 14, 14, 13, 9, 10, 6]  Action Executed:[2, 2, 2, 0, 2, 2, 0, 0, 0, 0, 3, 1, 0, 1, 1, 2, 1, 1, 2, 2, 1, 3, 0, 0, 0, 3, 3, 1, 3, 3, 3, 3, 0, 0, 0, 3, 1, 3, 0, 2, 2, 0, 3, 3, 3, 0, 0, 3, 1, 3, 0, 0, 3, 3, 1, 2, 1, 2, 2, 1, 1, 2, 1, 0, 2]
2021-09-16 20:41:26,740 :: INFO :: Line --> 91 :: episode:20  total reward:8.0  Path Followed:[0, 0, 0, 1, 2, 6, 2, 6]  Action Executed:[2, 2, 2, 3, 2, 2, 2, 2]
2021-09-16 20:41:32,862 :: INFO :: Line --> 91 :: episode:21  total reward:8.0  Path Followed:[0, 1, 1, 1, 0, 0, 4, 8, 9, 8, 8, 8, 8, 8, 4, 8, 8, 4, 4, 8, 4, 0, 1, 0, 4, 4, 4, 8, 8, 9, 8, 9, 13, 14, 13, 14, 13, 13, 14, 14, 13, 9, 13, 13, 9, 13, 14, 13, 14, 13, 14, 13, 9, 8, 4, 0, 0, 1, 0, 4, 0, 1, 0, 4, 4, 4, 0, 4, 8, 9, 8, 8, 4, 8, 4, 8, 4, 0, 1, 2, 2, 6, 2, 2, 2, 6]  Action Executed:[2, 3, 3, 3, 2, 2, 0, 3, 1, 3, 3, 3, 3, 3, 0, 3, 3, 0, 0, 3, 0, 2, 3, 2, 0, 0, 0, 3, 3, 1, 3, 1, 2, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 3, 0, 2, 2, 3, 2, 0, 2, 3, 2, 0, 0, 0, 2, 0, 3, 1, 3, 3, 0, 3, 0, 3, 0, 2, 3, 2, 2, 2, 2, 2, 2, 2]
2021-09-16 20:41:35,294 :: INFO :: Line --> 91 :: episode:22  total reward:8.0  Path Followed:[0, 4, 8, 4, 0, 0, 4, 4, 0, 0, 0, 0, 0, 1, 2, 3, 3, 3, 3, 3, 2, 3, 2, 3, 3, 2, 2, 6, 2, 3, 3, 3, 3, 3, 2, 2, 3, 2, 2, 6]  Action Executed:[2, 0, 3, 0, 2, 2, 0, 0, 2, 2, 2, 2, 2, 3, 2, 3, 3, 3, 3, 3, 2, 3, 2, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 3, 2, 2, 2]
2021-09-16 20:41:36,184 :: INFO :: Line --> 91 :: episode:23  total reward:8.0  Path Followed:[0, 0, 1, 2, 2, 2, 3, 2, 2, 2, 6]  Action Executed:[2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2]
2021-09-16 20:41:37,335 :: INFO :: Line --> 91 :: episode:24  total reward:8.0  Path Followed:[0, 0, 1, 0, 0, 0, 0, 4, 0, 1, 1, 2, 6]  Action Executed:[2, 2, 3, 2, 2, 2, 2, 0, 2, 3, 3, 2, 2]
